"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","Input.userid","Input.key","Answer.comment","Answer.verification","Approve","Reject"
"1K9Y0VK6RWR0P56FKG08OHSTOF8C0E","1JCENVJAZAXHIBT82LZYRWB7EPYT11","Tag documents","Given a document, choose one of its words to use as its tag, then assign the tag to a tag cluster.","easy, fast, documents, tags, clusters, words","$0.25","Tue Mar 02 09:19:05 GMT 2010","1","","3600","604800","Tue Mar 09 09:19:05 GMT 2010","23","","1QMLFDXJ81FFNCA5P9PNOBYF6R0SEK","A1KTJI6URSAQLA","Submitted","Tue Mar 02 11:29:30 GMT 2010","Tue Mar 02 11:31:31 GMT 2010","Tue Mar 09 11:31:31 GMT 2010","","","","121","21206","61697","","61697"
"1RU9K2GDB26UXF07G6HO3GNIZ5SM4M","1JCENVJAZAXHIBT82LZYRWB7EPYT11","Tag documents","Given a document, choose one of its words to use as its tag, then assign the tag to a tag cluster.","easy, fast, documents, tags, clusters, words","$0.25","Tue Mar 02 09:19:05 GMT 2010","1","","3600","604800","Tue Mar 09 09:19:05 GMT 2010","53","","191RNNKW40AKE3IGZF7U63YD4KNWHI","AND9W51FV95KY","Submitted","Tue Mar 02 10:47:07 GMT 2010","Tue Mar 02 10:49:02 GMT 2010","Tue Mar 09 10:49:02 GMT 2010","","","","115","64406","44806","","44806"
"1TK6DQULT66V2BAXMYFK7JE1PBU9GX","1JCENVJAZAXHIBT82LZYRWB7EPYT11","Tag documents","Given a document, choose one of its words to use as its tag, then assign the tag to a tag cluster.","easy, fast, documents, tags, clusters, words","$0.25","Tue Mar 02 09:19:05 GMT 2010","1","","3600","604800","Tue Mar 09 09:19:05 GMT 2010","43","","1MB01B8GN9SZGVL9SNZN96UXKODCE9","AND9W51FV95KY","Submitted","Tue Mar 02 10:57:26 GMT 2010","Tue Mar 02 10:58:53 GMT 2010","Tue Mar 09 10:58:53 GMT 2010","","","","87","23266","33924","","33924"
"1YDWA58WM7WBXDWKOL09VH6BNPHJRY","1JCENVJAZAXHIBT82LZYRWB7EPYT11","Tag documents","Given a document, choose one of its words to use as its tag, then assign the tag to a tag cluster.","easy, fast, documents, tags, clusters, words","$0.25","Tue Mar 02 09:19:05 GMT 2010","1","","3600","604800","Tue Mar 09 09:19:05 GMT 2010","33","","1MKTMY3B7I1WPNWRKZEXOFM16M2VSS","A1KTJI6URSAQLA","Submitted","Tue Mar 02 11:13:15 GMT 2010","Tue Mar 02 11:15:49 GMT 2010","Tue Mar 09 11:15:49 GMT 2010","","","","154","41143","76573","","76573"
"1HZFLEQXHQ7XFM2FT8RILFKHG5B3OX","1JCENVJAZAXHIBT82LZYRWB7EPYT11","Tag documents","Given a document, choose one of its words to use as its tag, then assign the tag to a tag cluster.","easy, fast, documents, tags, clusters, words","$0.25","Tue Mar 02 09:19:05 GMT 2010","1","","3600","604800","Tue Mar 09 09:19:05 GMT 2010","3","","1USCOUQXU6VZWVFM7DN6TZAC5GNUNS","A1KTJI6URSAQLA","Submitted","Tue Mar 02 11:59:10 GMT 2010","Tue Mar 02 12:00:56 GMT 2010","Tue Mar 09 12:00:56 GMT 2010","","","","106","92462","90252","","90252"
"118W6BW1KB3PMN8HRJ3EYNDSQXPQON","1JCENVJAZAXHIBT82LZYRWB7EPYT11","Tag documents","Given a document, choose one of its words to use as its tag, then assign the tag to a tag cluster.","easy, fast, documents, tags, clusters, words","$0.25","Tue Mar 02 09:19:05 GMT 2010","1","","3600","604800","Tue Mar 09 09:19:05 GMT 2010","63","","1ZO1IXAVW3ZWQEINXS2FRFFO3AI7KV","A1KTJI6URSAQLA","Submitted","Tue Mar 02 10:30:50 GMT 2010","Tue Mar 02 10:33:29 GMT 2010","Tue Mar 09 10:33:29 GMT 2010","","","","159","52427","17029","","17029"
"1LRF92G6X2ATQZI5FR85K8J4RT7VZO","1JCENVJAZAXHIBT82LZYRWB7EPYT11","Tag documents","Given a document, choose one of its words to use as its tag, then assign the tag to a tag cluster.","easy, fast, documents, tags, clusters, words","$0.25","Tue Mar 02 09:19:06 GMT 2010","1","","3600","604800","Tue Mar 09 09:19:06 GMT 2010","10","","1YC5UP7JH3GILZUSKCJ1HSTMTRZC91","A1KTJI6URSAQLA","Submitted","Tue Mar 02 11:51:50 GMT 2010","Tue Mar 02 11:53:43 GMT 2010","Tue Mar 09 11:53:43 GMT 2010","","","","113","61982","21550","","21550"
"1Y9RLPEE4SWNYSWX3A0ELRB79R0JSM","1JCENVJAZAXHIBT82LZYRWB7EPYT11","Tag documents","Given a document, choose one of its words to use as its tag, then assign the tag to a tag cluster.","easy, fast, documents, tags, clusters, words","$0.25","Tue Mar 02 09:19:06 GMT 2010","1","","3600","604800","Tue Mar 09 09:19:06 GMT 2010","54","","1NTX35OT05LGRDERN8YPPK9LW86GNC","AND9W51FV95KY","Submitted","Tue Mar 02 10:43:30 GMT 2010","Tue Mar 02 10:44:42 GMT 2010","Tue Mar 09 10:44:42 GMT 2010","","","","72","27857","70847","","70847"
"16U6SUX5ZDEG6TUR381AUMOOT9J5TB","1JCENVJAZAXHIBT82LZYRWB7EPYT11","Tag documents","Given a document, choose one of its words to use as its tag, then assign the tag to a tag cluster.","easy, fast, documents, tags, clusters, words","$0.25","Tue Mar 02 09:19:06 GMT 2010","1","","3600","604800","Tue Mar 09 09:19:06 GMT 2010","30","","10SONXJ5X6T9VK9TDXY6SV9LP88OXS","A1KTJI6URSAQLA","Submitted","Tue Mar 02 11:20:00 GMT 2010","Tue Mar 02 11:22:51 GMT 2010","Tue Mar 09 11:22:51 GMT 2010","","","","171","34557","65842","","65842"
"1MCFJFPCNVNG6QT3EN3SYMOF0VIEBV","1JCENVJAZAXHIBT82LZYRWB7EPYT11","Tag documents","Given a document, choose one of its words to use as its tag, then assign the tag to a tag cluster.","easy, fast, documents, tags, clusters, words","$0.25","Tue Mar 02 09:19:06 GMT 2010","1","","3600","604800","Tue Mar 09 09:19:06 GMT 2010","54","","1MTPCGGYPWS0CZUVL08MFAPMT0Q3RF","AND9W51FV95KY","Submitted","Tue Mar 02 10:41:17 GMT 2010","Tue Mar 02 10:42:26 GMT 2010","Tue Mar 09 10:42:26 GMT 2010","","","","69","48850","10640","","10640"
